day_of_week,start_time,end_time,discipline,age_level,location
tuesday,19:00,19:30,Taekwonkido,13,bry_sur_marne_0
tuesday,19:30,20:30,Taekwondo,13-blue,bry_sur_marne_0
tuesday,20:30,21:30,Hapkido,13,bry_sur_marne_0
wednesday,18:45,19:45,Taekwondo,baby,bry_sur_marne_0
wednesday,18:45,19:45,Taekwondo,child-6,bry_sur_marne_0
wednesday,19:45,20:45,Taekwondo,child-10,bry_sur_marne_0
thursday,19:15,20:15,Sinkido self-defense système,13,bry_sur_marne_0
thursday,20:15,21:15,Hapkido,13,bry_sur_marne_0
thursday,20:15,21:15,Taekwondo,13-blue,bry_sur_marne_0
thursday,21:00,21:30,Hapkido,black-belt,bry_sur_marne_0
friday,18:45,19:45,Taekwondo,child-6,bry_sur_marne_0
friday,19:45,20:45,Taekwondo,child-10,bry_sur_marne_0
